"municipio","area_territorial","populacao","densidade_demografica","populacao_estimada","escolarizacao","idhm","mortalidade_infantil","receitas_brutas","despesas_brutas","pib_per_capita"
"Belmiro Braga",393.086,3244,8.25,3292,98.32,0.66,NA,45980340.06,43509357.15,24432.08
"Belo Horizonte",331.337,2315560,6988.18,2415872,98.67,0.81,10.37,19290095592.66,19420989197.95,56227.29
"Belo Oriente",334.909,23928,71.45,24546,98.73,0.686,13.07,239795912.06,220104468.38,97365.17
"Belo Vale",364.94,8627,23.58,9012,98.9,0.655,11.9,163556502.45,213371636.41,31136.71
"Berilo",587.106,9826,16.74,9638,100,0.628,27.78,57769110.93,51747140.51,14184.1
"Bertópolis",427.803,4451,10.4,4546,87.91,0.594,47.62,31288336.7,30452513.12,14104.6
"Berizal",488.756,4201,8.6,4270,99.33,0.604,22.22,41392554.64,38309558.03,16672.41
"Betim",344.076,411846,1197.01,431433,99.37,0.749,12.57,3304153663.25,3170398198.54,127752.43
"Bias Fortes",283.535,3361,11.85,3367,100,0.62,NA,33858290.58,29566301.86,15264.8
"Bicas",140.082,13978,99.78,14358,100,0.744,6.67,85790494.41,70978980.93,25575.24
"Biquinhas",458.948,2383,5.19,2397,100,0.688,NA,79648546.93,39247673.24,31738.88
"Boa Esperança",860.669,39848,46.3,41443,98.3,0.704,14.58,251838844.29,253254761.36,35476.4
"Bocaina de Minas",503.77,5348,10.62,5530,100,0.645,22.73,36231230.27,32613913.19,19808.91
"Bocaiúva",3206.757,48032,14.98,49797,99.41,0.7,11.63,234596892.11,213819154.25,29895.72
"Bom Despacho",1213.546,51737,42.63,54377,98.39,0.75,9.76,348000861.15,324785395.12,42391.56
"Bom Jardim de Minas",412.021,6783,16.46,6988,98.26,0.673,15.15,49534494.73,43566054.03,22474.56
"Bom Jesus da Penha",208.349,4474,21.47,4677,98.32,0.735,NA,48464126.21,51841952.23,45385.21
"Bom Jesus do Amparo",195.611,5631,28.79,5786,98.81,0.683,12.35,39455717.47,35433608.9,31687.66
"Bom Jesus do Galho",592.289,14536,24.54,14719,94.7,0.623,NA,73363022.61,63786412.13,15228.93
"Bom Repouso",229.845,12649,55.03,13312,99.5,0.653,NA,77047711.36,73019597.56,16582.87
"Bom Sucesso",705.046,17151,24.33,17515,99.24,0.692,14.93,92052830.83,95155103.39,27308.18
"Bonfim",300.471,7434,24.63,7710,99.39,0.637,36.36,42228393.53,40210190.82,19218.24
"Bonfinópolis de Minas",1850.487,5528,2.99,5600,100,0.678,NA,62561936.39,56947850.72,85621.51
"Bonito de Minas",3936.455,10204,2.59,10525,98.97,0.537,21.43,62463694.35,62824029.87,12492.57
"Borda da Mata",301.108,17404,57.8,17837,99.79,0.73,5.59,92522334.5,88564964.95,26729.85
"Botelhos",334.089,14828,44.38,15141,95.41,0.702,NA,79867665.5,78653481.7,23349.51
"Botumirim",1568.884,5790,3.69,5806,100,0.602,17.86,44398506.41,41253941.59,14802.62
"Brasilândia de Minas",2509.694,15020,5.98,15485,98.25,0.674,15.96,87747643.13,80113276.79,31089.81
"Brasília de Minas",1399.484,32025,22.88,33262,99.35,0.656,8.53,184370570.77,172389341.33,15947.78
"Brás Pires",223.351,4260,19.07,4296,100,0.625,NA,38328466.35,31726596.41,14172.66
"Braúnas",378.318,4441,11.74,4445,97.74,0.624,NA,39569639.84,36478144.39,50495.49
"Brazópolis",367.688,14246,38.74,14491,99.22,0.692,15.15,70202256.81,69759195.76,19509.05
"Brumadinho",640.63,38915,60.86,41090,99.56,0.747,12.85,722713527.63,809075959.42,73116.53
"Bueno Brandão",356.15,10911,30.64,11168,98.99,0.658,NA,66363488.2,54922327.21,23528.66
"Buenópolis",1599.881,9150,5.72,9171,100,0.669,30.61,56501380.12,51270455.44,20956.09
"Bugre",161.491,4041,25.02,4159,98.41,0.627,16.95,48193169.24,39216066.74,13974.76
"Buritis",5225.186,24030,4.6,24779,97.63,0.672,20.41,205912442.9,192485680.88,60180.55
"Buritizeiro",7218.401,23910,3.31,23908,98.39,0.624,9.17,178143444.96,173595014.2,35635.57
"Cabeceira Grande",1033.055,6627,6.41,6811,100,0.648,41.67,68859894.5,67754705.78,79944.02
"Cabo Verde",368.206,11410,30.99,11269,98.45,0.674,7.14,75272115.18,65946416.84,28070.09
"Cachoeira da Prata",61.425,3693,60.17,3785,100,0.741,NA,43098037.1,36659677.25,18441.58
"Cachoeira de Minas",304.243,11883,39.06,12302,99.7,0.706,8.26,65576823.64,61035307.4,51312.38
"Cachoeira Dourada",203.07,2315,11.4,2337,98.54,0.726,100,109467343.02,89536315.01,67775.17
"Caetanópolis",156.039,11435,73.28,11906,99.58,0.706,8.77,60647834.86,53979906.51,31647.91
"Caeté",542.531,38776,71.47,39775,98.87,0.728,NA,219878754.66,206132856.19,25895.68
"Caiana",106.465,5304,49.82,5484,99.48,0.633,NA,41870031.25,34162829.06,19563.27
"Cajuri",83.038,4088,49.23,4191,100,0.617,62.5,46650945.01,36929005.97,31383.48
"Caldas",711.414,14217,19.98,14628,99.27,0.687,37.74,82569722.61,77676695.2,26206.2
"Camacho",223.001,2838,12.73,2851,100,0.69,NA,31509371.28,30316345.24,31448.46
"Camanducaia",528.688,26097,49.36,27860,98.49,0.689,16.78,180473775.69,157725801.45,50515.75
"Cambuí",244.567,29536,120.77,31066,98.8,0.751,8.75,186961399.82,183640549.14,82998.47
"Cambuquira",246.38,12313,49.98,12551,99.35,0.699,NA,66674345.9,61415802.32,36965.69
"Campanário",442.398,2923,6.61,2884,97.27,0.616,NA,34107753.62,29964032.49,20925.98
"Campanha",335.587,15935,47.48,16372,99.31,0.709,23.26,92064632.8,88598384.57,35264.92
"Campestre",577.843,20696,35.82,21155,98.45,0.698,NA,113430115.39,94735697.62,27278.19
"Campina Verde",3650.749,18011,4.93,18188,99.28,0.704,11.83,120155338.31,109096656.7,37625.23
"Campo Azul",505.914,3714,7.34,3806,100,0.621,NA,37225991.38,33784626.53,14134.95
"Campo Belo",528.225,52277,98.97,54027,98.99,0.711,3.64,309982177.35,290125300.35,27891.73
"Campo do Meio",275.426,11377,41.31,11625,97.47,0.683,17.54,74101338,64443213.46,21479.75
"Campo Florido",1264.245,8466,6.7,8931,99.59,0.706,22.73,94961080.49,80784059.76,124601.01
"Campos Altos",710.645,12979,18.26,13076,99.23,0.702,21.39,101867863.4,94713681.05,40439.11
"Campos Gerais",769.504,26105,33.92,26749,98.73,0.682,10.34,163858885.06,157225577.32,32221.78
"Canaã",174.9,4715,26.96,4839,98.72,0.649,NA,40314401.28,35183388.93,21641.26
"Canápolis",843.599,10608,12.57,10716,98.61,0.722,NA,91938119.42,77843145.72,88401.34
"Cana Verde",212.721,5272,24.78,5342,95.61,0.65,NA,44600294.43,37548941.45,18099.99
"Candeias",720.512,14001,19.43,14211,100,0.678,8.33,82338483.43,82930496.3,31618.63
"Cantagalo",141.855,3974,28.01,4029,98.89,0.631,NA,36443916,34580173.09,15925.87
"Caparaó",130.694,5048,38.62,5138,98.45,0.624,11.63,39340251.2,26955498.7,25672.72
"Capela Nova",111.073,4362,39.27,4397,100,0.648,NA,34087547.33,29199898.05,16089.87
"Capelinha",965.292,39626,41.05,41858,99.88,0.653,15.99,197743623.95,191641622.17,28058.02
"Capetinga",297.937,6562,22.02,6627,99.75,0.675,13.16,44266636.08,42529546.79,35558.95
"Capim Branco",95.333,10663,111.85,11210,99.11,0.695,28.85,59920789.36,56422985.78,16835.91
"Capinópolis",620.716,14655,23.61,14872,98.29,0.723,NA,119167774.57,110009426.87,58817.72
"Capitão Andrade",279.088,4585,16.43,4634,99.51,0.624,NA,42190245.56,37114800.49,15516.78
"Capitão Enéas",971.576,14108,14.52,14403,99.02,0.639,9.66,88976350.9,93200624.8,41139.63
"Capitólio",521.802,10380,19.89,10991,96.24,0.71,7.69,91327139.82,80210164.03,42758.08
"Caputira",187.704,8936,47.61,9128,98.64,0.615,7.25,52367872.89,51266372.05,22031.3
"Caraí",1242.345,19548,15.73,19511,99.56,0.558,24.75,101266427.45,83301447.1,14007.71
"Caranaíba",159.95,2933,18.34,2942,98.46,0.634,43.48,33589371.82,26165070.56,16810.92
"Carandaí",487.28,23812,48.87,24403,100,0.697,12.82,145168588.85,132167404.6,37097.63
"Carangola",353.404,31240,88.4,32134,98.66,0.695,5.63,186805591.89,189887467.61,24977.69
"Caratinga",1258.748,87360,69.42,90890,98.8,0.706,17.18,506720239.76,442854572.35,32870.3
"Carbonita",1456.095,8512,5.85,8603,97.97,0.638,NA,56541573.19,56559564.64,23487.07
"Careaçu",181.009,6816,37.66,7062,99.77,0.683,NA,45889993.87,39616264.87,29280.55
"Carlos Chagas",3202.984,18615,5.81,18783,98.63,0.648,9.09,117081712.35,108819919.48,33834.64
"Carmésia",259.103,2605,10.05,2693,98.94,0.65,NA,45103736.06,40434662.31,17477.55
"Carmo da Cachoeira",506.333,11547,22.81,11767,98.82,0.655,25.64,67290352.17,64784609.04,31847.05
"Carmo da Mata",357.178,11019,30.85,11291,97.21,0.689,11.49,62030955.7,61117092.64,28594.4
"Carmo de Minas",322.285,13797,42.81,14125,99.18,0.682,22.22,80727668.29,69809438.96,23937.68
"Carmo do Cajuru",455.807,23479,51.51,24581,100,0.71,11.58,141745986.94,129577854.46,33212.35
"Carmo do Paranaíba",1307.862,29011,22.18,29885,99.58,0.705,3.57,168546845.39,181393118.14,41200.53
"Carmo do Rio Claro",1065.685,20954,19.66,21506,99.86,0.733,5.43,107746564.88,104549530.89,40263.75
"Carmópolis de Minas",400.01,18003,45.01,18561,99.71,0.7,4.78,113723088.86,100147940.54,30071.74
"Carneirinho",2063.462,9422,4.57,9633,98.29,0.741,NA,242335100.46,129654246.46,72650.35
"Carrancas",727.894,4049,5.56,4161,97.46,0.725,NA,42482684.26,38494984.66,43049.31
"Carvalhópolis",81.101,3341,41.2,3419,98.99,0.724,26.32,38404951.94,36360811.05,25807.84
"Carvalhos",282.254,4422,15.67,4503,100,0.646,NA,33865308.87,29690187.44,23477.11
"Casa Grande",157.727,2214,14.04,2260,99.38,0.652,NA,33827793.63,27655711.84,37016.39
"Cascalho Rico",367.308,2712,7.38,2751,100,0.721,34.48,49531759.22,33471625.85,37351.42
"Cássia",665.802,17155,25.77,17491,99.09,0.704,17.96,102566360.49,96221280.69,30305.57
"Conceição da Barra de Minas",273.014,3560,13.04,3576,99.06,0.685,NA,36084404.33,29439707.51,24578.96
"Cataguases",491.767,66261,134.74,67732,99.05,0.751,15.49,291087666.46,276993684.24,32290.72
"Catas Altas",240.042,5473,22.8,5706,98.88,0.684,42.25,94552859.9,141903123.22,325175.25
"Catas Altas da Noruega",141.622,3110,21.96,3124,98.89,0.6,35.71,30365053.53,27919813.89,16604.57
"Catuji",419.38,7030,16.76,7248,99.28,0.54,17.7,50329800.82,47627596.43,15630.12
"Catuti",287.812,4739,16.47,4788,99.33,0.621,31.75,37717186.25,33460220.51,14945.86
"Caxambu",100.483,21056,209.55,21412,100,0.743,5.08,113178575.86,110400760.31,22079.72
"Cedro do Abaeté",283.211,1081,3.82,1084,100,0.678,NA,30393533.81,25924440.59,25878.78
"Central de Minas",204.328,6171,30.2,6213,100,0.665,14.49,58550059.45,45404858.2,16210.33
"Centralina",322.385,10207,31.66,10447,100,0.678,10.2,71787993.34,61949186.32,43978
"Chácara",152.807,3075,20.12,3194,97.77,0.664,NA,41112415.23,37602137.18,20261.4
"Chalé",212.674,6075,28.56,6289,97.93,0.655,NA,42618608.76,40496287.75,23001.8
"Chapada do Norte",830.833,10337,12.44,9763,100,0.598,68.97,80922535.53,77696019.68,11745.8
"Chapada Gaúcha",3255.189,12355,3.8,12904,99.25,0.635,20.92,92229253.53,81459962.54,47036.58
"Chiador",252.852,2800,11.07,2868,97.44,0.711,NA,41391042.69,35781136.08,16825.14
"Cipotânea",153.479,5581,36.36,5549,98.75,0.579,21.74,34529464.18,31113764.85,14494.05
"Claraval",227.627,4658,20.46,4786,97.26,0.698,NA,41547770.68,39140787.13,56243.76
"Claro dos Poções",720.424,7166,9.95,7230,100,0.67,29.85,44070809.04,38856110.66,15776.36
"Cláudio",630.706,30159,47.82,31936,99.6,0.709,7.33,167247955.12,151978416.43,47293.01
"Coimbra",106.875,7117,66.59,7293,98.45,0.669,NA,47721611.19,43955779.41,21021.4
"Coluna",347.716,8163,23.42,8206,99.03,0.583,23.53,41105033.42,43270224.93,16507.12
"Comendador Gomes",1041.047,2773,2.66,2804,100,0.697,27.78,45457650.32,39762303.04,81280.19
"Comercinho",654.961,6660,10.17,6540,99.5,0.593,45.45,43672943.83,39522897.2,12639.05
"Conceição da Aparecida",352.521,10371,29.42,10705,98.24,0.691,NA,63322611.93,53778407.14,31415.11
"Conceição das Pedras",102.206,2772,27.12,2840,95.62,0.668,NA,31321573.06,26191251.65,28423.34
"Conceição das Alagoas",1340.25,28381,21.18,30278,98.21,0.712,12.08,213980372.06,210212675.14,62796.89
"Conceição de Ipanema",253.935,4409,17.36,4503,100,0.676,NA,38273164.68,40349306.69,20741.06
"Conceição do Mato Dentro",1720.04,23163,13.47,24559,98.84,0.634,19.55,733676656.35,560412420.33,137909.63
"Conceição do Pará",250.306,5415,21.63,5584,100,0.7,NA,55464574.58,56430656.88,57902.77
"Conceição do Rio Verde",369.681,12541,33.92,12765,98.33,0.665,7.25,81724548.77,73679771.82,28072.27
"Conceição dos Ouros",180.236,10880,60.37,11218,98.71,0.703,NA,63679023.98,59441978.13,28357.83
"Cônego Marinho",1610.469,7237,4.49,7433,100,0.621,11.11,44471820.98,39603181.08,10875.32
"Confins",42.462,7350,173.53,7758,99.33,0.747,12.05,85152519.5,78989847.44,220002.3
"Congonhal",205.125,11083,54.03,11444,99.4,0.712,15.04,60685711.72,54046746.54,24727.7
"Congonhas",304.067,52890,173.94,55272,98.94,0.753,13.29,1086747890.67,1293831220.94,145467.84
"Congonhas do Norte",405.671,4831,11.91,4924,98.04,0.568,19.23,38821874.69,36434354.13,13224.74
"Conquista",618.363,6694,10.83,6878,99.51,0.729,13.89,66524752.54,60667648.06,100331.51
"Conselheiro Lafaiete",370.246,131621,355.5,138946,98.81,0.761,7.4,551758177.68,527042276.09,26459.67
"Conselheiro Pena",1466.367,20824,14.03,21052,99.67,0.662,15.75,123589402.6,114868854.96,24052.58
"Consolação",89.122,1563,17.54,1569,100,0.673,83.33,29719789.26,30170951.71,23198.36
"Contagem",194.732,621863,3193.2,651718,98.69,0.756,11.53,4079591893.57,3868907601.96,72511.78
"Coqueiral",296.163,9023,30.47,9188,98.4,0.694,10.87,56292053.42,50729599.12,31011.82
"Coração de Jesus",2225.216,25377,11.4,26138,99.31,0.642,4.02,126128503.15,122541559.75,14105.55
"Cordisburgo",823.654,7547,9.16,7535,100,0.656,15.38,41928594.73,42266825.81,21748
"Cordislândia",179.543,3200,17.82,3236,100,0.66,31.25,31117613.01,28838539.62,40996.03
"Corinto",2525.397,23532,9.32,23988,99.36,0.68,26.62,138512482.68,127176657.42,23238.31
"Coroaci",576.274,10884,18.89,11240,100,0.626,NA,43577515.36,39214387.22,14704.27
"Coromandel",3313.313,28894,8.72,30114,97.68,0.708,13.42,198237041.03,166387779.38,71010.76
"Coronel Fabriciano",221.881,104736,473.38,108708,98.59,0.755,10.64,542777425.74,501836595.81,22798.71
"Coronel Murta",815.413,8200,10.06,8237,100,0.627,NA,49258031.35,45192133.72,14151.73
"Coronel Pacheco",131.511,2762,21,2789,100,0.669,NA,34273746.6,28774484.42,26227.49
"Coronel Xavier Chaves",140.954,3486,24.73,3599,100,0.677,NA,37407409.15,35375154.2,25771.95
"Córrego Danta",657.425,2960,4.5,2956,100,0.692,NA,32268347.16,30453736.3,61253.28
"Córrego do Bom Jesus",123.651,4272,34.55,4462,100,0.692,NA,37399324.77,32253399.37,15328.37
"Córrego Fundo",101.112,6133,60.66,6333,99.5,0.678,NA,60421553.54,53361809.24,82848.14
"Córrego Novo",205.385,2875,14,2900,100,0.632,83.33,41040891.49,37499476.39,22171.2
"Couto de Magalhães de Minas",485.654,4245,8.74,4351,99.51,0.659,71.43,36552460.56,34073127.63,18082.03
"Crisólita",966.202,5265,5.45,5256,99.49,0.585,15.63,45569083.48,39936614.15,17531.18
"Cristais",628.434,12197,19.41,12634,97.88,0.692,NA,77221046.42,70727080.84,28127.36
"Cristália",840.702,5121,6.09,5133,99.6,0.583,NA,40622971.79,49434201.12,14537.52
"Cristiano Otoni",132.872,4667,35.12,4719,97.15,0.695,17.54,40089731.06,34288495.29,36140.51
"Cristina",311.33,10374,33.32,10643,99.05,0.668,NA,55879212.78,50475428.66,30535.25
"Crucilândia",167.164,5434,32.51,5674,90.59,0.651,NA,52325199.49,41304926.4,18529.98
"Cruzeiro da Fortaleza",187.446,3521,18.78,3616,99.42,0.696,NA,47861961.88,49265205.95,52043.75
"Cruzília",522.419,15362,29.41,15831,99.38,0.695,13.16,79906460.67,71743822.25,27418.39
"Cuparaque",226.75,3983,17.57,3958,98.91,0.627,35.09,46044792.62,43511891.5,20995.06
"Curral de Dentro",570.95,7406,12.97,7662,99.11,0.585,NA,47037521.54,47508496.44,12793.26
"Curvelo",3296.2,80665,24.47,84297,99.73,0.713,6.41,417245947.86,401084932.77,33550.19
"Datas",310.099,5465,17.62,5635,99.59,0.616,39.47,40700139.25,38107837.77,16112.58
"Delfim Moreira",408.473,7952,19.47,8133,100,0.669,25,43548526.21,43496786.03,17835
