"municipio","area_territorial","populacao","densidade_demografica","populacao_estimada","escolarizacao","idhm","mortalidade_infantil","receitas_brutas","despesas_brutas","pib_per_capita"
"São Sebastião do Paraíso",814.925,71796,88.1,75179,99.12,0.722,9.6,441747011.22,434631105.15,39476.43
"São Sebastião do Rio Preto",128.002,1259,9.84,1229,96.9,0.632,NA,27904839.2,29387031.29,25063.53
"São Sebastião do Rio Verde",90.848,2300,25.32,2385,100,0.676,NA,32128177.5,28711314.16,20932.6
"São Tiago",572.4,11192,19.55,11559,99.57,0.662,9.09,64215394.23,55591160.2,25065.31
"São Tomás de Aquino",277.928,6740,24.25,6837,93.51,0.7,NA,48938625.6,42021199.98,35131.08
"São Tomé das Letras",369.747,6904,18.67,7107,99.73,0.667,NA,46283634.76,44327425.32,23103.37
"São Vicente de Minas",392.651,6804,17.33,6928,99.14,0.715,NA,50900316.17,49428199.29,36498.56
"Sapucaí-Mirim",285.073,6311,22.14,6469,100,0.68,14.29,47719489.92,42424330.22,27614.31
"Sardoá",141.904,5104,35.97,5140,97.96,0.636,15.63,43577515.36,39214387.22,16711.3
"Sarzedo",62.134,36844,592.98,39974,99.35,0.734,17.41,272114040.94,286202549.68,44580.44
"Setubinha",534.655,9917,18.55,9985,99.11,0.542,7.3,56825122.29,53174926.75,13619.09
"Sem-Peixe",176.634,2433,13.77,2420,100,0.654,45.45,33512741.72,33980087.22,17165.12
"Senador Amaral",151.097,6206,41.07,6517,100,0.661,7.58,49483585.79,43729420.27,18648.07
"Senador Cortes",98.336,2240,22.78,2335,100,0.674,31.25,32957917.31,27358848.27,21683.19
"Senador Firmino",166.495,7716,46.34,7977,98.63,0.644,NA,49424387.93,40868070.84,18527.26
"Senador José Bento",93.892,2068,22.03,2149,100,0.684,NA,26335123.6,24311300.62,20983.94
"Senador Modestino Gonçalves",952.055,4008,4.21,4006,100,0.62,26.32,38951415.29,39008825.48,23123.43
"Senhora de Oliveira",170.749,5483,32.11,5577,98.4,0.631,NA,37153225.46,34860698.12,16620.02
"Senhora do Porto",381.328,3067,8.04,3066,100,0.565,NA,32863725.63,29350344.76,18281.72
"Senhora dos Remédios",237.815,10384,43.66,10657,99.38,0.626,10.87,53846652.15,45481578.72,13368.09
"Sericita",166.012,7345,44.24,7552,99.23,0.56,30.93,41640098.37,33859359.21,21298.52
"Seritinga",114.769,1819,15.85,1866,100,0.66,NA,31150860.32,24822295.28,30107.98
"Serra Azul de Minas",218.595,3792,17.35,3808,100,0.557,68.97,34942382.93,30342575.99,14780.74
"Serra da Saudade",335.659,833,2.48,856,100,0.677,NA,31052378.95,26301850.01,30686.21
"Serra dos Aimorés",213.574,6944,32.51,6859,99.19,0.651,11.36,41988149.85,38317936.73,22908.8
"Serra do Salitre",1295.272,11801,9.11,12286,98.91,0.696,5.65,145862715.89,141578487.93,76136.73
"Serrania",209.27,7621,36.42,7811,100,0.677,NA,43258781.88,39867534.68,26579.79
"Serranópolis de Minas",551.954,4399,7.97,4497,100,0.633,NA,41931046.78,36515292.63,13928.39
"Serranos",213.173,1990,9.34,2036,100,0.643,NA,31825606.26,28108283.87,24281.41
"Serro",1217.813,21952,18.03,22624,97.42,0.656,11.81,123886138.1,105308704.63,17625.88
"Sete Lagoas",536.928,227397,423.51,238909,99.16,0.76,8.54,1437247931.07,1414738001.91,65543.81
"Silveirânia",157.456,2323,14.75,2399,100,0.652,55.56,35806343.67,31643645.11,19374.49
"Silvianópolis",312.166,6179,19.79,6348,97.79,0.699,17.54,41614654.82,39677482.16,28921.04
"Simão Pereira",135.689,2947,21.72,3084,84.92,0.638,57.14,47233673.92,38305587.81,39392.33
"Simonésia",486.543,19750,40.59,20431,98.86,0.632,17.91,110463046.27,107195641.76,18796.45
"Sobrália",206.787,5137,24.84,5140,100,0.631,NA,55943737.62,50428365.51,15990.16
"Soledade de Minas",196.866,5613,28.51,5733,98.4,0.697,39.22,36211710.91,31250778.26,18554.58
"Tabuleiro",211.084,4014,19.02,4097,98.74,0.681,NA,49545265.57,32719897.84,21570.71
"Taiobeiras",1220.045,33050,27.09,34537,99.32,0.67,14.42,184430056.47,169166389.96,21342.59
"Taparuba",193.082,3387,17.54,3508,100,0.645,NA,42422321.26,39938855.71,17709.19
"Tapira",1179.248,4118,3.49,4215,99.53,0.712,21.74,95865636.83,79118440.77,153403.51
"Tapiraí",407.92,1690,4.14,1698,98.82,0.667,NA,28250638.13,21904283.86,41586.33
"Taquaraçu de Minas",329.287,4224,12.83,4394,100,0.651,NA,41896383.52,39213154.64,20052.78
"Tarumirim",731.753,14709,20.1,15104,99.41,0.633,14.81,73651973.86,70346886.07,16070.3
"Teixeiras",166.735,12255,73.5,12691,99.61,0.675,NA,60129882.05,55086834.34,17955.14
"Teófilo Otoni",3242.27,137418,42.38,142851,98.53,0.701,14.79,844530157.39,957161256.92,25762.62
"Timóteo",144.377,81579,565.03,84172,99.3,0.77,2.26,485207861.03,454466414.18,56987.61
"Tiradentes",83.047,7744,93.25,8056,98.54,0.74,NA,52415368.03,47408387.17,38423.47
"Tiros",2091.774,7883,3.77,8231,100,0.683,27.03,61511739.85,54129223.87,55948.8
"Tocantins",173.866,16185,93.09,16603,99.07,0.688,NA,87146325.37,84292437.92,27851.98
